tip_label	genus	subgenus	section
A_floribunda	Angophora	Angophora	Angophora
A_leiocarpa_1	Angophora	Angophora	Angophora
A_leiocarpa_2	Angophora	Angophora	Angophora
C_aparrerinja	Corymbia	Blakella	Abbreviatae
C_arnhemensis	Corymbia	Corymbia	Corymbia
C_calophylla_1	Corymbia	Corymbia	Calophyllae
C_calophylla_2	Corymbia	Corymbia	Calophyllae
C_calophylla_3	Corymbia	Corymbia	Calophyllae
C_candida	Corymbia	Blakella	Abbreviatae
C_chippendalei	Corymbia	Corymbia	Corymbia
C_chlorolampra	Corymbia	Corymbia	Calophyllae
C_citriodora_1	Corymbia	Blakella	Maculatae
C_citriodora_2	Corymbia	Blakella	Maculatae
C_cliftoniana	Corymbia	Corymbia	Corymbia
C_deserticola_deserticola_1	Corymbia	Corymbia	Corymbia
C_deserticola_deserticola_2	Corymbia	Corymbia	Corymbia
C_eremaea_oligiocarpa	Corymbia	Corymbia	Corymbia
C_eremaea_oligocarpa	Corymbia	Corymbia	Corymbia
C_ficifolia	Corymbia	Corymbia	Calophyllae
C_haematoxylon	Corymbia	Corymbia	Calophyllae
C_henryi_2	Corymbia	Blakella	Maculatae
C_henryi_3	Corymbia	Blakella	Maculatae
C_henryi_4	Corymbia	Blakella	Maculatae
C_leichhardii_1	Corymbia	Blakella	Naviculares
C_leichhardii_2	Corymbia	Blakella	Naviculares
C_lenziana	Corymbia	Corymbia	Corymbia
C_leptoloma	Corymbia	Blakella	Naviculares
C_maculata	Corymbia	Blakella	Maculatae
C_papillosa	Corymbia	Corymbia	Corymbia
C_petalophylla	Corymbia	Blakella	Naviculares
C_polycarpa_1	Corymbia	Corymbia	Corymbia
C_polycarpa_2	Corymbia	Corymbia	Corymbia
C_ptychocarpa_ptychocarpa	Corymbia	Corymbia	Corymbia
C_rhodops	Corymbia	Corymbia	Corymbia
C_scabrida	Corymbia	Blakella	Naviculares
C_setosa_pedicellaris_x_C_brachycarpa	Corymbia-H	Corymbia-H	Corymbia-H
C_setosa_setosa	Corymbia	Corymbia	Corymbia
C_sphaerica	Corymbia	Corymbia	Corymbia
C_terminalis	Corymbia	Corymbia	Corymbia
C_tessellaris_1	Corymbia	Blakella	Abbreviatae
C_tessellaris_2	Corymbia	Blakella	Abbreviatae
C_tessellaris_3	Corymbia	Blakella	Abbreviatae
C_trachyphloia_amphistomatica	Corymbia	Corymbia	Corymbia
C_trachyphloia_trachyphloia_1	Corymbia	Corymbia	Corymbia
C_trachyphloia_trachyphloia_2	Corymbia	Corymbia	Corymbia
C_variegata	Corymbia	Blakella	Maculatae
E_absita	Eucalyptus	Symphyomyrtus	Adnataria
E_acies	Eucalyptus	Eucalyptus	'Frutices' ms
E_adesmophloia	Eucalyptus	Symphyomyrtus	Bisectae
E_aenea	Eucalyptus	Symphyomyrtus	Adnataria
E_aequioperta	Eucalyptus	Symphyomyrtus	Dumaria
E_aequioperta_x_E_sheathiana	Eucalyptus-H	Symphyomyrtus-H	Dumaria-H
E_agglomerata	Eucalyptus	Eucalyptus	Eucalyptus
E_aggregata	Eucalyptus	Symphyomyrtus	Maidenaria
E_alaticaulis	Eucalyptus	Symphyomyrtus	Maidenaria
E_alatissima_1	Eucalyptus	Symphyomyrtus	Bisectae
E_alatissima_2	Eucalyptus	Symphyomyrtus	Bisectae
E_albens_1	Eucalyptus	Symphyomyrtus	Adnataria
E_albens_2	Eucalyptus	Symphyomyrtus	Adnataria
E_albopurpurea_1	Eucalyptus	Symphyomyrtus	Adnataria
E_albopurpurea_2	Eucalyptus	Symphyomyrtus	Adnataria
E_albopurpurea_3	Eucalyptus	Symphyomyrtus	Adnataria
E_albopurpurea_4	Eucalyptus	Symphyomyrtus	Adnataria
E_alipes	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_ammophila	Eucalyptus	Symphyomyrtus	Exsertaria
E_amygdalina_1	Eucalyptus	Eucalyptus	Eucalyptus
E_amygdalina_2	Eucalyptus	Eucalyptus	Eucalyptus
E_angulosa_1	Eucalyptus	Symphyomyrtus	Dumaria
E_angulosa_2	Eucalyptus	Symphyomyrtus	Dumaria
E_angulosa_3	Eucalyptus	Symphyomyrtus	Dumaria
E_angustissima	Eucalyptus	Symphyomyrtus	Bisectae
E_annulata	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_apodophylla_1	Eucalyptus	Symphyomyrtus	Exsertaria
E_apodophylla_2	Eucalyptus	Symphyomyrtus	Exsertaria
E_apothalassica	Eucalyptus	Eucalyptus	Eucalyptus
E_arachnaea_arachnaea	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_arachnaea_arrecta_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_arachnaea_arrecta_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_arachnaea_x_E_pluricaulis_intergrade_1	Eucalyptus-H	Symphyomyrtus-H	Glandulosae' ms-H
E_arborella	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_arenacea	Eucalyptus	Eucalyptus	Eucalyptus
E_argutifolia	Eucalyptus	Symphyomyrtus	Dumaria
E_aridomontana_1	Eucalyptus	Symphyomyrtus	Adnataria
E_aridomontana_2	Eucalyptus	Symphyomyrtus	Adnataria
E_aridomontana_3	Eucalyptus	Symphyomyrtus	Adnataria
E_armillata	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_articulata	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_aspersa	Eucalyptus	Symphyomyrtus	Bisectae
E_aspratilis_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_aspratilis_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_aspratilis_3	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_assimilans_1	Eucalyptus	Symphyomyrtus	Dumaria
E_assimilans_2	Eucalyptus	Symphyomyrtus	Dumaria
E_astringens_redacta_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_astringens_redacta_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_astringens_redacta_3	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_atrata_1	Eucalyptus	Symphyomyrtus	Adnataria
E_atrata_2	Eucalyptus	Symphyomyrtus	Adnataria
E_baiophylla	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_bakeri	Eucalyptus	Symphyomyrtus	Bisectae
E_balladoniensis_balladoniensis	Eucalyptus	Symphyomyrtus	Bisectae
E_bancroftii	Eucalyptus	Symphyomyrtus	Exsertaria
E_baudiniana_1	Eucalyptus	Symphyomyrtus	Dumaria
E_baudiniana_2	Eucalyptus	Symphyomyrtus	Dumaria
E_baudiniana_x_E_oraria_intergrade_1	Eucalyptus-H	Symphyomyrtus-H	Dumaria-H
E_baudiniana_x_E_oraria_intergrade_2	Eucalyptus-H	Symphyomyrtus-H	Dumaria-H
E_baueriana	Eucalyptus	Symphyomyrtus	Adnataria
E_baxteri_1	Eucalyptus	Eucalyptus	Eucalyptus
E_baxteri_2	Eucalyptus	Eucalyptus	Eucalyptus
E_beardiana_1	Eucalyptus	Symphyomyrtus	Bisectae
E_beardiana_2	Eucalyptus	Symphyomyrtus	Bisectae
E_behriana	Eucalyptus	Symphyomyrtus	Adnataria
E_behriana_x_E_xodorata	Eucalyptus-H	Symphyomyrtus-H	Adnataria-H
E_behriana_x_E_largiflorens	Eucalyptus-H	Symphyomyrtus-H	Adnataria-H
E_bicostata	Eucalyptus	Symphyomyrtus	Maidenaria
E_blaxellii_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_blaxellii_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_botryoides	Eucalyptus	Symphyomyrtus	Latoangulatae
E_brachycalyx_1	Eucalyptus	Symphyomyrtus	Dumaria
E_brachycalyx_2	Eucalyptus	Symphyomyrtus	Dumaria
E_brandiana	Eucalyptus	Symphyomyrtus	Dumaria
E_brassiana	Eucalyptus	Symphyomyrtus	Exsertaria
E_brevipes_1	Eucalyptus	Symphyomyrtus	Bisectae
E_brevipes_2	Eucalyptus	Symphyomyrtus	Bisectae
E_brevistylis	Eucalyptus	Eucalyptus	Longistylus
E_bridgesiana	Eucalyptus	Symphyomyrtus	Maidenaria
E_brockwayi	Eucalyptus	Symphyomyrtus	Bisectae
E_brownii	Eucalyptus	Symphyomyrtus	Adnataria
E_burracoppinensis	Eucalyptus	Symphyomyrtus	Bisectae
E_cadens	Eucalyptus	Symphyomyrtus	Maidenaria
E_caesia_Boyagin_Rock_1	Eucalyptus	Symphyomyrtus	Bisectae
E_caesia_Boyagin_Rock_2	Eucalyptus	Symphyomyrtus	Bisectae
E_caesia_Southern_rocks	Eucalyptus	Symphyomyrtus	Bisectae
E_caesia_caesia_1	Eucalyptus	Symphyomyrtus	Bisectae
E_caesia_caesia_2	Eucalyptus	Symphyomyrtus	Bisectae
E_caesia_magna_1	Eucalyptus	Symphyomyrtus	Bisectae
E_caesia_magna_2	Eucalyptus	Symphyomyrtus	Bisectae
E_caesia_magna_3	Eucalyptus	Symphyomyrtus	Bisectae
E_caesia_magna_4	Eucalyptus	Symphyomyrtus	Bisectae
E_caesia_magna_5	Eucalyptus	Symphyomyrtus	Bisectae
E_cajuputea	Eucalyptus	Symphyomyrtus	Adnataria
E_calcareana_1	Eucalyptus	Symphyomyrtus	Dumaria
E_calcareana_2	Eucalyptus	Symphyomyrtus	Dumaria
E_calcareana_3	Eucalyptus	Symphyomyrtus	Dumaria
E_calcareana_4	Eucalyptus	Symphyomyrtus	Dumaria
E_calcicola_unita_1	Eucalyptus	Eucalyptus	'Frutices' ms
E_calcicola_unita_2	Eucalyptus	Eucalyptus	'Frutices' ms
E_caleyi_caleyi_x_ovendenii_intergrade	Eucalyptus-H	Symphyomyrtus-H	Adnataria-H
E_caliginosa	Eucalyptus	Eucalyptus	Eucalyptus
E_calycogona_calycogona_1	Eucalyptus	Symphyomyrtus	Bisectae
E_calycogona_calycogona_2	Eucalyptus	Symphyomyrtus	Bisectae
E_calycogona_trachybasis	Eucalyptus	Symphyomyrtus	Bisectae
E_camaldulensis_arida_2	Eucalyptus	Symphyomyrtus	Exsertaria
E_camaldulensis_arida_3	Eucalyptus	Symphyomyrtus	Exsertaria
E_camaldulensis_arida_4	Eucalyptus	Symphyomyrtus	Exsertaria
E_camaldulensis_arida_5	Eucalyptus	Symphyomyrtus	Exsertaria
E_camaldulensis_camaldulensis	Eucalyptus	Symphyomyrtus	Exsertaria
E_camaldulensis_refulgens_1	Eucalyptus	Symphyomyrtus	Exsertaria
E_camaldulensis_refulgens_2	Eucalyptus	Symphyomyrtus	Exsertaria
E_camaldulensis_simulata	Eucalyptus	Symphyomyrtus	Exsertaria
E_cameronii	Eucalyptus	Eucalyptus	Eucalyptus
E_campaspe	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_camphora_camphora	Eucalyptus	Symphyomyrtus	Maidenaria
E_canaliculata	Eucalyptus	Symphyomyrtus	Pumilio
E_canescens_beadellii	Eucalyptus	Symphyomyrtus	Dumaria
E_canescens_canescens	Eucalyptus	Symphyomyrtus	Dumaria
E_capillosa_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_capillosa_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_capillosa_3	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_capillosa_4	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_capitanea	Eucalyptus	Symphyomyrtus	Dumaria
E_captiosa	Eucalyptus	Symphyomyrtus	Dumaria
E_carnei	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_celastroides_celastroides	Eucalyptus	Symphyomyrtus	Bisectae
E_celastroides_virella_1	Eucalyptus	Symphyomyrtus	Bisectae
E_celastroides_virella_2	Eucalyptus	Symphyomyrtus	Bisectae
E_cerasiformis	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_cernua	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_chloroclada_2	Eucalyptus	Symphyomyrtus	Exsertaria
E_chloroclada_3	Eucalyptus	Symphyomyrtus	Exsertaria
E_chlorophylla_1	Eucalyptus	Symphyomyrtus	Adnataria
E_chlorophylla_2	Eucalyptus	Symphyomyrtus	Adnataria
E_cladocalyx_crassa	Eucalyptus	Symphyomyrtus	Sejunctae
E_clelandii	Eucalyptus	Symphyomyrtus	Dumaria
E_cneorifolia	Eucalyptus	Symphyomyrtus	Bisectae
E_codonocarpa_1	Eucalyptus	Eucalyptus	Eucalyptus
E_codonocarpa_2	Eucalyptus	Eucalyptus	Eucalyptus
E_comitaexvallis	Eucalyptus	Symphyomyrtus	Dumaria
E_concinna	Eucalyptus	Symphyomyrtus	Dumaria
E_confluens	Eucalyptus	Symphyomyrtus	Platysperma
E_conglobata_conglobata_1	Eucalyptus	Symphyomyrtus	Dumaria
E_conglobata_conglobata_2	Eucalyptus	Symphyomyrtus	Dumaria
E_conglobata_conglobata_3	Eucalyptus	Symphyomyrtus	Dumaria
E_conglobata_conglobata_4	Eucalyptus	Symphyomyrtus	Dumaria
E_conglobata_conglobata_5	Eucalyptus	Symphyomyrtus	Dumaria
E_conica	Eucalyptus	Symphyomyrtus	Adnataria
E_conica_x_E_microcarpa	Eucalyptus-H	Symphyomyrtus-H	Adnataria-H
E_conveniens	Eucalyptus	Eudesmia	Limbatae
E_coolabah	Eucalyptus	Symphyomyrtus	Adnataria
E_cooperiana_1	Eucalyptus	Symphyomyrtus	Bisectae
E_cooperiana_2	Eucalyptus	Symphyomyrtus	Bisectae
E_cooperiana_3	Eucalyptus	Symphyomyrtus	Bisectae
E_cordata_quadrangulosa_1	Eucalyptus	Symphyomyrtus	Maidenaria
E_cordata_quadrangulosa_2	Eucalyptus	Symphyomyrtus	Maidenaria
E_cornuta	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_corrugata	Eucalyptus	Symphyomyrtus	Dumaria
E_corynodes	Eucalyptus	Symphyomyrtus	Adnataria
E_cosmophylla_1	Eucalyptus	Symphyomyrtus	Incognitae
E_cosmophylla_2	Eucalyptus	Symphyomyrtus	Incognitae
E_cretata	Eucalyptus	Symphyomyrtus	Dumaria
E_crucis_lanceolata_1	Eucalyptus	Symphyomyrtus	Bisectae
E_crucis_lanceolata_2	Eucalyptus	Symphyomyrtus	Bisectae
E_crucis_lanceolata_3	Eucalyptus	Symphyomyrtus	Bisectae
E_crucis_lanceolata_4	Eucalyptus	Symphyomyrtus	Bisectae
E_crucis_praecipua	Eucalyptus	Symphyomyrtus	Bisectae
E_cullenii	Eucalyptus	Symphyomyrtus	Adnataria
E_cupularis	Eucalyptus	Symphyomyrtus	Exsertaria
E_cyclostoma	Eucalyptus	Symphyomyrtus	Dumaria
E_cylindriflora	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_cylindrocarpa_1	Eucalyptus	Symphyomyrtus	Dumaria
E_cylindrocarpa_2	Eucalyptus	Symphyomyrtus	Dumaria
E_dalrympleana_Tasmania_1	Eucalyptus	Symphyomyrtus	Maidenaria
E_dalrympleana_Tasmania_2	Eucalyptus	Symphyomyrtus	Maidenaria
E_dalrympleana_heptantha_1	Eucalyptus	Symphyomyrtus	Maidenaria
E_dalrympleana_heptantha_2	Eucalyptus	Symphyomyrtus	Maidenaria
E_dawsonii	Eucalyptus	Symphyomyrtus	Adnataria
E_deanei	Eucalyptus	Symphyomyrtus	Maidenaria
E_decipiens_1	Eucalyptus	Symphyomyrtus	Bisectae
E_decipiens_2	Eucalyptus	Symphyomyrtus	Bisectae
E_decipiens_3	Eucalyptus	Symphyomyrtus	Bisectae
E_decorticans	Eucalyptus	Symphyomyrtus	Adnataria
E_deflexa	Eucalyptus	Symphyomyrtus	Dumaria
E_delicata	Eucalyptus	Symphyomyrtus	Bisectae
E_dendromorpha	Eucalyptus	Eucalyptus	Eucalyptus
E_densa_densa	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_desmondensis	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_desmondensis_x_E_occidentalis	Eucalyptus-H	Symphyomyrtus-H	Glandulosae' ms-H
E_deuaensis	Eucalyptus	Eucalyptus	Eucalyptus
E_dielsii_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_dielsii_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_diminuta_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_diminuta_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_diminuta_3	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_diminuta_4	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_diminuta_5	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_diptera	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_discreta	Eucalyptus	Symphyomyrtus	Bisectae
E_dissimulata_1	Eucalyptus	Symphyomyrtus	Bisectae
E_dissimulata_2	Eucalyptus	Symphyomyrtus	Bisectae
E_diversifolia_diversifolia	Eucalyptus	Eucalyptus	'Frutices' ms
E_diversifolia_hesperia	Eucalyptus	Eucalyptus	'Frutices' ms
E_dolichocera	Eucalyptus	Symphyomyrtus	Bisectae
E_dolichorhyncha	Eucalyptus	Symphyomyrtus	Dumaria
E_dorrigoensis	Eucalyptus	Symphyomyrtus	Maidenaria
E_dorrigoensis_x_E_xsaligna	Eucalyptus-H	Symphyomyrtus-H	Maidenaria-H
E_drepanophylla_1	Eucalyptus	Symphyomyrtus	Adnataria
E_drepanophylla_2	Eucalyptus	Symphyomyrtus	Adnataria
E_drepanophylla_3	Eucalyptus	Symphyomyrtus	Adnataria
E_drepanophylla_4	Eucalyptus	Symphyomyrtus	Adnataria
E_drummondii_1	Eucalyptus	Symphyomyrtus	Bisectae
E_drummondii_2	Eucalyptus	Symphyomyrtus	Bisectae
E_dumosa	Eucalyptus	Symphyomyrtus	Dumaria
E_dundasii	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_dwyeri	Eucalyptus	Symphyomyrtus	Exsertaria
E_ebbanoensis_ebbanoensis	Eucalyptus	Eudesmia	Limbatae
E_ebbanoensis_photina	Eucalyptus	Eudesmia	Limbatae
E_ecostata_1	Eucalyptus	Symphyomyrtus	Bisectae
E_ecostata_2	Eucalyptus	Symphyomyrtus	Bisectae
E_educta_1	Eucalyptus	Symphyomyrtus	Bisectae
E_educta_2	Eucalyptus	Symphyomyrtus	Bisectae
E_educta_3	Eucalyptus	Symphyomyrtus	Bisectae
E_effusa_effusa	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_effusa_exsul_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_effusa_exsul_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_elata_1	Eucalyptus	Eucalyptus	Eucalyptus
E_elata_2	Eucalyptus	Eucalyptus	Eucalyptus
E_eremicola_eremicola	Eucalyptus	Symphyomyrtus	Bisectae
E_eremicola_peeneri_1	Eucalyptus	Symphyomyrtus	Bisectae
E_eremicola_peeneri_2	Eucalyptus	Symphyomyrtus	Bisectae
E_erythrocorys_1	Eucalyptus	Eudesmia	Limbatae
E_erythrocorys_2	Eucalyptus	Eudesmia	Limbatae
E_erythrocorys_3	Eucalyptus	Eudesmia	Limbatae
