id	gcf	scf	bs	edge_len	gn	sn
1263	5.61	35.43	1	0.002876454	1123	3927.68
1264	0.52	34.19	1	0.002569798	1144	4172.82
1265	0.79	34.7	0.976	0.003112074	1138	4171.75
1266	4.86	32.38	0.983	0.003043717	1131	4084.74
1267	18.68	52.53	1	0.002574523	1140	4171.8
1268	3.46	36.4	1	0.001845012	1126	4234.34
1269	0.09	36.66	1	0.002873913	1153	4150.63
1270	10.86	40.91	1	0.004190945	764	3096.83
1271	0.09	36.15	0.985	0.00324625	1140	3827.81
1272	8.38	44.72	1	0.003877346	1122	4689.91
1273	1.22	37.78	1	0.003008007	1148	4651.87
1274	37.24	65.35	1	0.003482934	1144	4711.08
1275	4.87	32.23	1	0.00156582	1108	4510.34
1276	7.31	55.68	1	0.003096436	1135	6101.62
1277	17.69	49.74	1	0.003649639	1108	5201.41
1278	0.17	40.4	1	0.002978624	1150	6140.63
1279	66.05	81.31	1	0.005819245	1137	7071.75
1280	0.26	35.42	1	0.001630641	1149	5323.23
1281	4.97	35.13	1	0.006232801	885	4425.43
1282	0.09	36.98	0.94	0.005232102	1159	5285.48
1283	13.06	60.78	1	0.007222961	1156	6681.72
1284	19.61	53.04	1	0.004596475	1127	5551.01
1285	39.48	54.65	1	0.00393087	1117	5222.81
1286	18.54	35.09	1	0.002672698	1122	5290.09
1287	0.43	46.57	1	0.003656769	1160	6302.93
1288	0.09	35.26	1	0.006108959	1165	5626.4
1289	0.26	37.43	1	0.005600227	1154	5487.29
1290	11.38	42.92	1	0.005082957	1134	5959.38
1291	1.67	38.63	1	0.003731743	1138	6111.02
1292	26.49	55.13	1	0.005023498	1125	6468.77
1293	7.11	36.72	1	0.003198413	1125	6100.92
1294	0	32.31	0	0.004226962	1166	5360.76
1295	0	40	1	0.0054173	1159	5116.85
1296	1.79	34.93	1	0.005148171	1119	5619.77
1297	6.4	35.3	0.995	0.004668775	1094	5631.86
1298	0.67	34.36	0.998	0.004210705	1045	5047.73
1299	4.42	41.9	1	0.004697019	1019	4977.47
1300	39.44	64.77	1	0.004029189	1108	5709.06
1301	0	33.41	1	0.002098666	1152	4312.93
1302	0.09	33.88	0	0.004998271	1143	4163.81
1303	15.45	53.98	1	0.005086758	1120	5467.45
1304	4.55	40.85	1	0.003534638	1120	5140.9
1305	29.02	59.81	1	0.004498648	882	5115.6
1306	0	32.91	0.818	0.001975225	315	1280.3
1307	0.32	40.85	0.84	0.004721656	311	1276.65
1308	12.65	52.01	1	0.004357721	1099	5894.52
1309	40.59	56.06	1	0.003583896	1111	5426.22
1310	0	38.05	0.999	0.002110741	1157	5803.27
1311	3.13	44.03	1	0.005750819	1149	6424.69
1312	13.51	54.2	1	0.004477806	1140	5883.96
1313	11.1	38.02	1	0.002625724	1135	4399.57
1314	23.92	50.21	1	0.002602409	1133	4259.14
1315	15.73	49.99	1	0.001702473	1125	6196.15
1316	0.53	36.6	1	0.002978146	1136	6447.34
1317	2.04	41.42	1	0.005361442	1127	6459.49
1318	21.23	50.24	1	0.0048109	1126	6313.3
1319	16.98	47.21	1	0.003060068	1113	6098.45
1320	9.54	51.86	1	0.003277421	1185	9345.85
1321	16.58	38.88	1	0.01100285	1176	8928.83
1322	81.15	88.78	1	0.009751245	1151	13892.16
1323	27.46	51.56	1	0.001202595	1147	2348.08
1324	31.87	41.96	1	0.000791686	1045	2461.27
1325	81.08	85.68	1	0.000878261	983	12742.16
1326	11.22	45.67	1	0.001214936	1185	11096.43
1327	11.43	43.56	1	0.012688751	1181	10258
1328	22.3	44.43	1	0.011226682	1103	9957.79
1329	24.8	64.64	1	0.008684352	1105	10746.44
1330	71.19	85.87	1	0.006868159	972	9854.1
1331	4.29	38.21	0.999	0.001156492	1142	7397.75
1332	1.66	39.69	1	0.006129541	1142	7074.66
1333	1.28	42.45	1	0.00717238	1171	6897.14
1334	5.15	42.04	1	0.006373186	1145	6845.42
1335	12.24	50.93	1	0.005244628	1127	6598.71
1336	6.3	46.8	1	0.004243999	1142	5403.67
1337	0.26	43.17	1	0.004813248	1153	4901.98
1338	0	34.6	0.995	0.004216685	1153	4613.85
1339	2.85	40.56	1	0.003940808	1156	4388.8
1340	35.63	64.59	1	0.00330998	1145	4305.08
1341	11.03	44.98	1	0.001768576	1142	4108.08
1342	12.78	34.29	0.988	0.002786634	1056	3677.62
1343	0.17	37.94	1	0.002545337	1162	4369.12
1344	0.69	33.19	0.849	0.003978022	1152	4350.37
1345	10.63	38.26	1	0.003732953	1091	4364.84
1346	22.34	56.09	1	0.003235859	1146	4722.67
1347	0.43	36.35	1	0.002357033	1159	4419.84
1348	3.67	33.49	1	0.003621207	1144	4605.48
1349	37.47	62.46	1	0.003427637	1137	4906.64
1350	2.16	37.88	1	0.001912701	1156	4347.48
1351	17.79	47.94	1	0.003166911	1141	4396.68
1352	13.75	42.66	1	0.00231124	1142	4231.11
1353	1.41	31.23	0.805	0.002285311	1133	4776.03
1354	0.26	39.38	1	0.003730132	1174	4605.42
1355	0.26	37.58	0.078	0.003934178	1165	4200.37
1356	3.55	48.94	1	0.003664183	1155	4477.38
1357	21.58	53.46	1	0.002744068	1140	4237.56
1358	2.09	34.17	0.994	0.00160794	1147	4231.18
1359	9.88	37.56	1	0.002518466	1134	4445.17
1360	19.89	51.69	1	0.002223391	1136	4070.52
1361	0.44	33.88	1	0.001618782	1141	4385.43
1362	0.88	35.82	0.993	0.003636004	1136	3843.13
1363	8.29	35.33	1	0.003515389	844	3193.38
1364	7.94	38.03	0.997	0.002829565	1134	3813.9
1365	0.17	32.33	1	0.002958671	1153	4357.01
1366	5.21	46.69	1	0.003504795	1133	4268.25
1367	1.61	33.66	1	0.002835648	933	3619.8
1368	3.14	33.61	1	0.002828897	891	3614.15
1369	25.48	58.9	1	0.00152777	946	7907.24
1370	19.36	42.78	1	0.000860865	780	2814.54
1371	3.26	45.77	1	0.002974505	1164	6456.25
1372	10.99	48.64	1	0.00594382	1156	6098.7
1373	62.14	79.19	1	0.004554272	1149	6594.53
1374	38.19	52.29	1	0.001509349	1147	2884.09
1375	6.72	32.67	0.78	0.001194309	1145	5487.83
1376	17.64	41.15	1	0.003951142	1128	5315.01
1377	2.33	37.23	1	0.003861025	1157	6048.73
1378	5.81	35.08	1	0.005624141	1153	5938.51
1379	63.72	76.61	1	0.005050955	1141	6527.81
1380	29.25	56.28	1	0.001822211	1142	6062.66
1381	74.1	77.85	1	0.003509039	1135	5958.42
1382	4.56	32.32	0.647	0.001149978	1140	5954.07
1383	54.72	74.52	1	0.005143099	1133	7009.02
1384	2.54	35.58	1	0.002083065	1143	6759.1
1385	5.36	39.14	1	0.006434502	1139	6543.57
1386	13.16	53.05	1	0.006248773	1147	6664.97
1387	62.51	74.59	1	0.00509021	1139	6590.03
1388	7.06	38.36	1	0.001876906	1148	5785.34
1389	26.74	48.94	1	0.00479345	1137	5763.77
1390	7.31	32.95	0.988	0.003337482	1135	5548.47
1391	30.93	63.96	1	0.004147088	1125	5507.48
1392	22.53	34.7	1	0.001758357	892	3773.75
1393	23.67	44.6	1	0.001440238	1149	8132.37
1394	83.45	83.27	1	0.010057771	894	12691.69
1395	83.72	82.98	1	0.00171886	958	12318.48
1396	13.54	37.61	1	0.001185679	1182	12310
1397	98.39	96.64	1	0.015697544	1178	65672.54
1398	66.61	73.09	1	0.011505822	1165	12414.89
1399	43.52	69.03	1	0.006425602	1149	7536
1400	7.84	36.06	1	0.004141132	1148	4979.77
1401	8.61	42.45	0.342	0.003644427	1138	4851.32
1402	18.66	45.46	1	0.00305685	1120	4649.01
1403	40.71	57.87	1	0.002624733	1130	3995.11
1404	31.44	52.26	1	0.001486938	1142	4777.2
1405	40.29	45.77	1	0.002086456	963	3780.24
1406	35.85	55.3	1	0.000945483	1124	5017.08
1407	13.33	34.23	0.586	0.002502351	1155	6853.68
1408	39	51.89	1	0.005662925	1136	7321.94
1409	46.19	65.92	1	0.005649309	1115	6687.49
1410	41.12	45.7	1	0.003277287	1109	5335.69
1411	31.11	34.57	1	0.002522917	958	6320.71
1412	31.96	61.39	1	0.004426143	1142	6649.87
1413	22.11	40.13	1	0.003939999	1126	5214.24
1414	40.5	48.25	1	0.003863352	1121	5273.35
1415	31	37.49	1	0.002765934	1171	10079.71
1416	85.46	82.18	1	0.010017854	1142	11828.7
1417	62.35	67.2	1	0.004309616	1134	5329.3
1418	31.67	37.01	1	0.002369255	1124	4903.07
1419	64.38	57.61	1	0.003516398	904	4794.12
1420	43.82	62.24	1	0.001357325	1132	10134.5
1421	16.01	36.05	1	0.006781373	1137	7781.11
1422	18.26	60.37	1	0.006327474	1161	8016.5
1423	1.48	34.44	1	0.005658832	1150	6265.03
1424	0.35	32.91	0.995	0.006251417	1141	6441.04
1425	0.09	32.88	0.996	0.006030415	1144	6454.66
1426	4.2	36.46	1	0.005624245	1144	6893.77
1427	20.54	34.67	1	0.004778909	1115	7450.52
1428	13.51	43.97	1	0.003322356	1118	6552.41
1429	0.79	40.9	1	0.004241091	1146	6615.38
1430	8.06	33.14	1	0.005534634	1116	6159.3
1431	6.19	44.56	1	0.004695466	1131	5983.46
1432	10.37	43.39	1	0.00457163	1109	5695.2
1433	16.51	36.23	0.936	0.004306875	1096	5791.04
1434	7.85	39.72	1	0.003571225	1095	6324.84
1435	2.58	36.69	1	0.005102156	1123	6284.62
1436	38.29	60.8	1	0.005769481	1097	6752.23
1437	12.34	47.17	1	0.003536483	1151	6250.65
1438	61.65	71.35	1	0.004661066	1129	6391.02
1439	31.85	50.24	1	0.001638478	1121	5889.26
1440	12.89	42.43	1	0.003096206	1164	7796.36
1441	21.47	62.01	1	0.004923782	1141	7135.38
1442	17.21	39.94	1	0.003173049	1139	4857.13
1443	40.43	49.35	1	0.002957174	940	4382.43
1444	24.21	47.01	1	0.001226392	1136	4495.83
1445	9.82	27.34	0.989	0.002351468	1140	7689.98
1446	39.87	57.08	1	0.004510043	1116	6511.78
1447	73.98	69.92	1	0.003404266	1130	15058.42
1448	19.29	38.35	1	0.009141227	1130	8286.81
1449	33.98	51.95	1	0.009673693	1142	8471.61
1450	45.63	65.76	1	0.007902186	1133	7795.52
1451	29.77	46.51	1	0.004726139	1048	5409.84
1452	15.17	43.24	1	0.003268918	1134	5708.18
1453	38.96	58.89	1	0.004172426	1119	5907.57
1454	20.07	45.22	1	0.00237872	1121	5567.3
1455	22.95	39.59	1	0.003366316	1120	4879.78
1456	21.08	38.53	1	0.002965392	1143	7937.66
1457	84.11	90.25	1	0.008575197	1133	10966.92
1458	29.3	47.16	1	0.001598118	983	2892.9
1459	10.44	40.62	0.854	0.000857544	1140	2863.65
1460	21.41	46.67	1	0.00155709	1135	2734.1
1461	14.2	39.83	0.912	0.001132053	1134	2757.43
1462	81.31	78.69	1	0.001189	1113	9822.37
1463	0	35.05	0.997	0.00369396	1184	7137.57
1464	12.78	65.14	1	0.009059893	1158	8425.34
1465	21.27	46.42	1	0.006184964	1100	6875.15
1466	3.74	34.84	0.306	0.004832994	1124	6626.27
1467	2.61	34.13	0.409	0.005518401	1034	6028
1468	5.58	43.23	1	0.006423501	1057	6160.05
1469	16.67	40.62	1	0.005714206	1116	6401.85
1470	7.89	32.31	0.995	0.004513004	1116	6110.73
1471	39.11	65.18	1	0.005064901	895	6093.32
1472	0.17	38.5	1	0.002263763	1182	6486.74
1473	1.18	54.76	1	0.00805129	1185	6730.31
1474	0	39.99	1	0.005578692	1162	5941.06
1475	1.57	44.68	1	0.006965088	1143	6356.13
1476	20.68	48.5	1	0.005865451	1112	6762.82
1477	3.9	41.29	1	0.003899149	1129	6527.1
1478	9.95	38.78	1	0.005030516	1126	6097.08
1479	48.66	70.19	1	0.004438106	1122	6326.51
1480	0	35.32	1	0.001951743	1162	5438.93
1481	0	35.42	0.99	0.006970574	1178	5394.21
1482	0	36.3	1	0.006619515	1140	5926.11
1483	7.23	40.85	1	0.006311143	1092	6342.07
1484	0	35.19	0.939	0.004869177	1140	6093.44
1485	0	36.79	1	0.006033038	1162	5838.35
1486	0.09	35.26	0.233	0.006188494	1156	5605.28
1487	0.7	42.05	1	0.005808913	1142	5632.49
1488	16	48.13	1	0.005120952	1069	5704.28
1489	1.53	34.95	1	0.003420281	1109	5696.62
1490	5.12	35.38	0.962	0.004788204	1093	5651.21
1491	14.17	45.8	1	0.004104546	995	5287.22
1492	0.28	30.86	1	0.004115161	1056	5458.93
1493	10.83	50.83	1	0.005708026	1034	5965.23
1494	0	35.89	1	0.003981306	1151	6052.17
1495	0	36.6	1	0.005583949	1143	6092.67
1496	6.85	40.14	1	0.005751123	1095	6222.09
1497	0.8	37.72	1	0.004485873	1126	6198.19
1498	2.71	35.54	1	0.005256774	1105	6225.41
1499	30.83	69.03	1	0.004679172	1103	6333.43
1500	0.45	33.14	0.966	0.002050799	1120	6124.67
1501	7.9	40.89	1	0.00511238	1088	6062.15
1502	0.17	34.67	1	0.005011922	1166	5947.39
1503	1.08	41.43	1	0.006184138	1020	5707.92
1504	6.84	46.71	1	0.005646619	994	5841.41
1505	10.59	35.9	0.997	0.00461481	1105	6652.04
1506	7.59	45.39	1	0.004097221	1120	6098.83
1507	35.16	58.91	1	0.004735516	1038	5925.33
1508	0	34.67	1	0.002965981	1179	5115.71
1509	0.45	41.71	1	0.006438927	1119	4895.15
1510	0.81	34.33	0.984	0.005313957	1114	4589.81
1511	10.78	44.78	1	0.005616673	1020	4313.91
1512	24.96	53.04	1	0.00447325	641	3283.23
1513	7.88	52.43	1	0.003642397	1117	4927.76
1514	32.23	64.3	1	0.004119225	1030	5484.52
1515	0	41.96	1	0.002555159	1152	5033.47
1516	30.52	72.62	1	0.005911542	1124	6490.33
1517	0.09	36.93	0.997	0.002381373	1150	4737.96
1518	1.33	37.79	1	0.005461489	1128	4729.75
1519	3.77	41.34	1	0.004681034	954	5073.09
1520	33.3	64.96	1	0.004203373	961	5048.45
1521	1.35	36.34	1	0.002164054	966	4064.3
1522	9.07	51.22	1	0.005493836	959	3514.86
1523	13.78	45.21	1	0.004270599	624	2552.02
1524	35.48	53.49	1	0.003297375	606	2533.16
1525	13.67	36.73	1	0.002126365	695	2996.89
1526	0	34.75	0.302	0.003470193	1173	6052.81
1527	0	35.07	1	0.005193354	1044	5756.83
1528	2.08	39.98	1	0.006899258	1012	6026.89
1529	16.27	48.09	1	0.006207799	1063	7047.58
1530	0	33.04	0.998	0.004524028	1167	5968.53
1531	0	33.4	1	0.004837766	1170	5831.68
1532	0	38.13	0.943	0.00645915	1165	6213.15
1533	16.71	57.41	1	0.006043067	1101	6583.83
1534	0	35.52	1	0.004368824	1164	5960.65
1535	0	32.74	1	0.005518985	1163	5719.94
1536	0	34.76	0.996	0.005042252	1131	5254.23
1537	0.12	28.86	0.571	0.00470372	810	4612.12
1538	6.36	49.86	1	0.00597044	770	4434.95
1539	2.2	35.57	1	0.004764177	1093	5177.6
1540	0	34.81	0.998	0.003953957	1151	5817.82
1541	0	32.68	1	0.006254493	1142	6369.45
1542	4.14	38.51	1	0.00615635	1110	6637.34
1543	0.35	34.68	1	0.004904758	1132	6452.92
1544	4.51	40.37	1	0.005837843	1109	6313.83
1545	1.44	37.25	1	0.004862224	1114	6253.67
1546	0	37.79	1	0.005331774	1165	6117.61
1547	0	32.55	0	0.006139348	1141	6183.55
1548	23.31	60.98	1	0.00573928	1107	6703.49
1549	0.09	34.59	1	0.003280811	1125	6131.78
1550	44.4	73.32	1	0.006335079	1117	7121.93
1551	3.92	35.99	0.799	0.002637823	1021	5872.32
1552	0.09	36.61	0.989	0.00541422	1161	5789.06
1553	0.36	34.21	1	0.006163447	1115	5691.32
1554	2.51	35.04	0.769	0.005608119	958	5193.14
1555	0	32.83	0	0.004787171	1159	5867.97
1556	0	37.09	1	0.006339796	1143	5900.77
1557	12.03	46.95	1	0.005717546	1114	6268.79
1558	10.45	46.48	1	0.004073943	1110	6313.5
1559	0.43	36.61	1	0.004098061	1151	5945.3
1560	2.51	34.01	1	0.006025232	996	5492.67
1561	3.42	33.34	1	0.005112215	1083	5740.99
1562	0	28.9	1	0.005209723	1179	5530.08
1563	1.25	56.63	1	0.006584458	958	7344.98
1564	0.23	22.16	0	0.006370942	871	3647.15
1565	38.25	56.63	1	0.006261059	549	4467.35
1566	0.84	48.33	1	0.001933029	1067	3621.35
1567	2.8	42.96	1	0.005542595	1072	3318.72
1568	7.24	36.95	1	0.005389604	773	3166.05
1569	6.32	34.35	0.939	0.004509726	744	3042.23
1570	1.62	38.1	1	0.005017746	1108	3384.18
1571	24.8	61.24	1	0.004595124	734	3620.89
1572	1.23	37.34	1	0.00360598	1058	3392.21
1573	6.1	45.13	1	0.004019008	983	3664.36
1574	19.62	55.36	1	0.003150072	795	3535.03
1575	5.8	33.64	1	0.001670666	776	3435.19
1576	0	43.24	1	0.004719723	1092	5372.3
1577	0	36.94	1	0.005957448	1091	6296.64
1578	0.09	34.52	1	0.006396632	1120	6458.12
1579	0	35.88	1	0.005825718	1116	6144.42
1580	0	35.14	0	0.006559983	1149	6218.08
1581	0	35.75	0.84	0.006934388	1152	6082.27
1582	0.81	35.17	1	0.006496573	1107	6010.96
1583	4.67	35.98	1	0.005911759	963	5570.73
1584	0.7	35.05	1	0.005533785	1139	6291.21
1585	37.52	65.4	1	0.006202118	1106	6948.89
1586	9.5	44.31	1	0.003188261	1095	6575.25
1587	34.56	54.95	1	0.005094194	1085	6711.36
1588	0.35	37.89	1	0.003501857	1139	6078.61
1589	8.02	40.78	1	0.006160181	1085	6162.55
1590	5.5	36.14	1	0.004860328	1073	6178.48
1591	5.62	36.92	1	0.005286656	1086	6223.02
1592	1.24	40.83	1	0.005466813	1132	6837.61
1593	13.63	41.59	1	0.006328328	1115	7056.52
1594	7.4	48.6	1	0.004778124	1095	5802.05
1595	7.99	59.15	1	0.003434621	1151	6657.64
1596	2.69	34.29	0.992	0.006367185	1117	5798.36
1597	34.85	61.1	1	0.005806924	1099	6818.29
1598	0.43	34.2	0.45	0.003433044	1150	5406.84
1599	0.17	36.45	0.995	0.006106213	1160	5411.52
1600	10	41.71	1	0.005981422	1040	5187.32
1601	0.69	36.28	1	0.004826527	1157	4609.33
1602	5.39	36.94	1	0.005869363	891	3979.5
1603	2.01	36.43	1	0.004914049	1144	3679.76
1604	18.38	46.07	1	0.005372511	1126	4471.56
1605	5.33	31.87	1	0.003942263	1089	3336.93
1606	8.84	37.81	0.999	0.004823363	147	616.44
1607	9.61	42.8	1	0.004202822	1124	6125.53
1608	25.53	54.86	1	0.004646457	1093	6579.23
1609	1.02	42.85	1	0.003782688	1177	6174.28
1610	26.99	64.35	1	0.005657067	1141	6453.54
1611	46.01	80.4	1	0.002793553	1139	4662.56
1612	25.83	25.67	0.241	0.000547151	1088	1514.84
1613	1.2	42.71	1	0.000431269	1162	5425.99
1614	0.52	38.87	1	0.005258847	1153	4658.02
1615	19.4	49.92	1	0.004845989	1129	5282.45
1616	1.14	32.15	0.531	0.003216922	1143	4060.38
1617	2	31.58	0.971	0.004433563	849	3046.21
1618	25.12	59.51	1	0.004870547	434	2253.8
1619	14.21	48.43	1	0.002618168	1126	4113.02
1620	0.09	36.61	1	0.003146848	1156	5243.52
1621	2.58	33.98	1	0.004827691	1123	5769.59
1622	41.42	68.98	1	0.004236489	1113	5980.4
1623	0.26	33.7	1	0.002015396	1135	5618.31
1624	0.89	40.22	1	0.004886305	1126	5710.03
1625	7.05	34.91	1	0.004430531	1120	5542.98
1626	4.59	33.69	1	0.003667535	1090	5520.2
1627	0.17	35.52	1	0.003852269	1144	5182.57
1628	0.44	36.72	0.945	0.005990731	1131	3785.23
1629	3.33	42.17	1	0.005515993	1112	3753.03
1630	17.47	45.43	1	0.004730139	1093	5909.03
1631	3.68	38.32	1	0.00347208	543	2025.18
1632	7.67	37.85	1	0.005086672	287	1617.45
1633	0	35.29	1	0.004137265	1166	6457.71
1634	0	34.4	0.845	0.006294118	1159	6468.95
1635	0	31.68	1	0.005976163	1151	6433.52
1636	0	39.71	1	0.006392886	1141	6418.53
1637	1.07	42.69	1	0.005710362	1121	6391.27
1638	0.62	35.34	1	0.004970068	1125	6229.61
1639	11.19	44.11	1	0.005210557	1126	6244.56
1640	1.76	32.69	1	0.003875882	1136	6177.81
1641	10.43	42.85	1	0.004731494	1112	6421.85
1642	0	31.95	1	0.003944262	1128	6431.88
1643	4.41	47.12	1	0.005905616	1112	6588.98
1644	7.81	33.98	1	0.004892838	1088	6173.31
1645	0.43	33.81	1	0.004644487	1150	6410.73
1646	4.48	40.73	1	0.005574265	1116	6385.73
1647	3.52	32.56	1	0.005163919	1109	6218.22
1648	0.45	41.72	1	0.004694722	1105	6575.46
1649	1.36	41.25	1	0.005650763	1104	6150.11
1650	0.17	37.07	1	0.005541577	1157	6029.77
1651	2.45	36.21	1	0.005431792	1145	6045.87
1652	25.61	58.79	1	0.004972572	1113	6376.76
1653	21.37	53.76	1	0.002883787	1095	5852.76
1654	1.92	34.2	1	0.00302022	1145	6095.41
1655	14.07	47.56	1	0.004888692	1109	6146.84
1656	21.48	51.92	1	0.003458649	1122	6445.85
1657	0	36.46	1	0.003198963	1148	6063.1
1658	12.23	46.12	1	0.00511964	1112	5860.37
1659	0.35	33.23	0.874	0.003688545	1136	5980.82
1660	15.69	48.52	1	0.004900422	1122	6244.33
1661	8.33	39.3	1	0.003332929	1117	6197.15
1662	0.61	37.14	1	0.003978827	1144	6441.64
1663	8.99	33.52	1	0.005605728	1101	6725.05
1664	6.13	43.59	1	0.004410704	1061	6264.75
1665	0	35.37	1	0.004495724	1157	5984.54
1666	0.27	37.22	1	0.00543446	1132	6032.15
1667	7.08	43.32	1	0.004740311	1102	6194.85
1668	0	33.11	1	0.003768272	1153	5970.53
1669	0	32.72	1	0.005381887	1138	5575.48
1670	0.57	29.64	1	0.005030485	1057	5497.08
1671	9.26	57.67	1	0.005142524	864	4986.92
1672	0.36	41.51	0.876	0.003466659	1108	5472.14
1673	1.28	33.38	0.427	0.00461563	1090	5937.62
1674	18.29	56.54	1	0.004385428	1088	5984.75
1675	0.35	35.02	0.889	0.002797174	1135	6037.64
1676	2.07	35.72	1	0.005035866	1109	6202.74
1677	0	35.38	1	0.004201887	1146	6166.31
1678	0.98	35.71	1	0.004990992	1126	6011.4
1679	1.34	33.53	1	0.004099627	1116	5940.9
